과제번호,source,신약구분,질환,표적,모달리티_대분류,모달리티,개발단계,보유기관,적응증,약물,현재상태,시작일,1차완료예정,등록목표,성공가능성_pct,성공가능성_근거,과제명
RS-2025-25452986,KDDF,,종양,CDK6,바이오/첨단,Gene & Nucleic acids,발굴,한국과학기술연구원,AML/ALL,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",mRNA/LNP 기반 pan-RAS 변이 단백질 특이적 Bio-PROTAC 폐암 치료제 플랫폼 개발
RS-2025-25452139,KDDF,,종양,CDK6,표적단백질분해(TPD),TPD,발굴,연세대학교산학협력단,AML/ALL,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",CDK6 KLHDC2 PROTAC 선도물질 1종 이상 도출 및 기술이전
RS-2025-25452008,KDDF,,종양,*****,합성/저분자,Small molecules,발굴,서강대학교산학협력단,RCC,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",RCC 치료를 위한 혁신 저분자 **** 조절제 선도물질 발굴
RS-2025-02223194,KDDF,,종양,T cell,바이오/첨단,Gene & Nucleic acids,발굴,한국화학연구원,Cancer/Immune disease,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",T cell 선택적인 lentivirus를 이용하여 몸속에서 제작되는 In vivo CAR T 개발
RS-2025-02223174,KDDF,,종양,TEAD,표적단백질분해(TPD),TPD,발굴,한국화학연구원,NF2-mutated cancer,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",TEAD Interface3 표적 단백질 분해제 개발
RS-2025-02223093,KDDF,,종양,EGFR,표적단백질분해(TPD),TPD,발굴,이화여자대학교 산학협력단,"Colon cancer, Head & neck cancer, NSCLC",,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",EGFR 저해제의 약물내성 극복을 위한 자가조립형 펩타이드 기반 PROTAC 나노약물 선도물질 개발
RS-2025-02213480,KDDF,,종양,p53,바이오/첨단,Gene & Nucleic acids,발굴,성균관대학교 산학협력단,EGFR (+) Head and Neck cancer,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",EGFR 표적화된 p53 mRNA 기반의 두경부암 치료제
RS-2025-02172968,KDDF,,종양,"EGFR, CD3",바이오/첨단,Antibody,발굴,서울대학교 산학협력단,EGFR high expressing cancer,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",EGFR의 untethered form에 특이적 결합을 보이는 항체를 활용한 BiTE (bispecific T cell engager) 고형암 치료제 개발 및 발현 정제 프로세스 수립
RS-2024-00463605,KDDF,,종양,APE1,합성/저분자,Small molecules,발굴,한국과학기술원,"lung cancer, Colon cancer",,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",약물저항성 4기-암환자 치료제 개발
RS-2024-00463393,KDDF,,종양,N/A,합성/저분자,Small molecules,발굴,조선대학교,Metastatic colorectal cancer,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",재발 및 전이성 대장암 신규 약물 표적 바이오마커 HSPA1L-METTL21A Protein-Protein Interactions (PPIs)를 억제하는 신규 선도물질의 개발
